#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.153	493	13.179	499
13.205	459	13.230	502
13.255	430	13.280	498
13.306	399	13.332	503
13.356	372	13.382	497
13.407	348	13.433	499
13.458	330	13.483	499
13.509	320	13.534	499
13.559	314	13.584	499
13.610	315	13.636	499
13.660	324	13.686	499
13.711	339	13.737	501
13.762	357	13.787	500
13.813	384	13.838	499
13.863	409	13.889	499
13.914	439	13.940	502
13.964	469	13.990	501
14.016	497	14.041	505
14.066	524	14.091	501
14.117	544	14.143	503
14.167	563	14.193	503
14.218	574	14.244	505
14.269	579	14.294	503
14.320	578	14.345	503
14.370	574	14.395	502
14.421	558	14.447	502
14.471	538	14.497	502
14.522	515	14.548	505
14.573	487	14.598	503
14.624	458	14.649	501
14.675	430	14.700	500
14.725	400	14.751	497
14.776	376	14.801	500
14.827	354	14.852	500
14.878	335	14.902	500
14.928	321	14.954	499
14.979	319	15.004	499
15.029	320	15.055	499
15.081	328	15.105	499
15.131	342	15.156	498
15.182	362	15.206	501
15.232	385	15.258	500
15.283	412	15.308	503
15.333	441	15.359	501
15.385	469	15.409	502
15.435	496	15.460	502
15.486	523	15.511	502
15.536	542	15.562	502
15.587	557	15.612	504
15.638	569	15.663	502
15.689	575	15.713	502
15.739	572	15.765	504
15.790	565	15.815	503
15.840	550	15.866	505
15.892	532	15.916	502
15.942	511	15.967	502
15.993	483	16.018	502
16.043	459	16.069	499
16.094	428	16.119	502
16.144	403	16.170	500
16.196	377	16.220	501
16.246	356	16.271	500
16.297	338	16.322	501
16.347	328	16.373	498
16.398	325	16.423	496
16.449	325	16.474	503
16.500	335	16.524	495
16.550	347	16.576	500
16.601	367	16.626	502
16.651	388	16.677	500
16.703	416	16.727	501
16.753	444	16.778	501
16.804	467	16.829	502
16.854	495	16.880	501
16.905	520	16.930	503
16.955	539	16.981	502
17.007	556	17.031	500
17.057	565	17.082	502
17.108	568	17.133	501
17.158	567	17.184	500
17.209	559	17.234	503
17.260	547	17.285	503
17.311	528	17.335	503
17.361	508	17.387	502
17.412	483	17.437	501
17.462	454	17.488	501
17.514	428	17.538	501
17.564	401	17.589	502
17.615	380	17.640	500
17.665	359	17.691	504
17.716	343	17.742	497
17.766	333	17.792	500
17.818	328	17.843	499
17.868	330	17.893	499
17.919	340	17.945	501
17.969	355	17.995	502
18.020	372	18.046	501
18.071	398	18.096	501
18.122	415	18.147	501
18.172	448	18.198	502
18.223	470	18.249	502
18.273	496	18.299	503
18.325	518	18.350	504
18.375	533	18.400	504
18.426	551	18.452	502
18.476	560	18.502	505
18.527	563	18.553	503
18.578	562	18.603	501
18.629	555	18.654	501
