#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	518	13.230	503
13.256	557	13.281	490
13.306	590	13.332	480
13.357	614	13.383	480
13.407	628	13.433	483
13.459	634	13.484	494
13.509	630	13.534	509
13.560	621	13.585	530
13.610	599	13.636	555
13.661	570	13.687	581
13.711	533	13.737	606
13.763	494	13.788	635
13.813	453	13.838	660
13.864	413	13.890	680
13.914	374	13.940	695
13.965	341	13.991	708
14.016	313	14.041	712
14.067	292	14.092	710
14.117	283	14.143	702
14.168	283	14.194	688
14.218	290	14.244	669
14.270	306	14.295	645
14.320	333	14.345	618
14.371	363	14.396	591
14.421	402	14.447	562
14.472	439	14.498	538
14.522	479	14.548	513
14.574	518	14.599	493
14.624	552	14.649	482
14.675	583	14.701	468
14.725	604	14.751	474
14.776	618	14.802	480
14.827	623	14.852	491
14.878	622	14.903	508
14.928	607	14.954	533
14.979	587	15.005	558
15.029	559	15.055	589
15.081	528	15.106	616
15.131	490	15.156	643
15.182	451	15.208	668
15.232	412	15.258	691
15.283	376	15.309	706
15.333	345	15.359	714
15.385	318	15.410	717
15.435	304	15.460	713
15.486	293	15.512	704
15.536	293	15.562	687
15.587	304	15.613	666
15.638	316	15.663	640
15.689	339	15.714	613
15.739	371	15.765	583
15.790	407	15.816	554
15.840	442	15.866	530
15.892	481	15.917	500
15.942	518	15.967	488
15.993	549	16.019	465
16.043	576	16.069	464
16.094	599	16.120	466
16.144	608	16.170	474
16.196	613	16.221	488
16.246	608	16.271	511
16.297	593	16.323	536
16.347	575	16.373	562
16.398	551	16.424	593
16.449	518	16.474	623
16.500	482	16.525	652
16.550	446	16.576	677
16.601	412	16.627	699
16.651	378	16.677	713
16.703	349	16.728	717
16.753	326	16.778	723
16.804	311	16.830	717
16.854	303	16.880	706
16.905	303	16.931	687
16.955	310	16.981	665
17.007	332	17.032	637
17.057	349	17.082	608
17.108	381	17.134	578
17.158	415	17.184	547
17.209	448	17.235	520
17.260	484	17.285	493
17.311	517	17.336	477
17.361	549	17.387	464
17.412	570	17.438	461
17.462	587	17.488	462
17.514	596	17.539	472
17.564	601	17.589	487
17.615	593	17.641	510
17.665	584	17.691	536
17.716	564	17.742	566
17.766	538	17.792	597
17.818	508	17.843	628
17.869	474	17.893	658
17.919	441	17.945	683
17.970	409	17.995	703
18.020	377	18.046	722
18.072	353	18.096	727
18.122	334	18.147	727
18.173	320	18.198	720
18.223	312	18.249	708
18.274	317	18.299	687
18.325	326	18.350	664
18.376	340	18.400	637
18.426	365	18.452	604
18.477	395	18.502	572
18.527	423	18.553	541
18.579	454	18.603	512
18.629	489	18.654	489
18.680	517	18.704	470
18.730	543	18.756	455
18.781	564	18.806	454
18.831	579	18.857	457
18.883	586	18.907	469
18.933	588	18.958	486
18.984	583	19.009	510
19.034	569	19.060	535
19.085	548	19.110	567
19.136	526	19.161	602
19.187	497	19.211	631
19.237	463	19.263	664
19.288	436	19.313	688
19.338	405	19.364	708
19.390	378	19.414	724
19.440	355	19.465	730
19.491	338	19.515	731
19.541	329	19.567	724
19.592	321	19.617	711
19.642	328	19.668	688
19.694	338	19.718	662
19.744	353	19.769	633
19.795	373	19.820	600
19.845	403	19.871	568
19.896	433	19.921	536
19.947	463	19.972	508
19.998	494	20.022	484
20.048	520	20.074	468
20.099	541	20.124	454
20.149	560	20.175	452
20.201	573	20.225	454
20.251	577	20.276	466
20.302	576	20.326	483
20.352	569	20.378	508
20.403	554	20.428	538
20.453	534	20.479	569
20.505	511	20.529	602
20.555	484	20.580	633
20.606	456	20.631	663
20.656	427	20.682	695
20.707	400	20.732	708
20.758	376	20.783	727
20.809	359	20.834	733
20.859	343	20.885	733
20.910	337	20.936	725
20.960	334	20.986	712
21.012	339	21.037	690
21.062	353	21.087	663
21.113	369	21.139	632
21.163	392	21.189	600
21.214	417	21.240	566
21.264	444	21.290	537
21.316	471	21.341	509
21.366	499	21.391	480
21.417	522	21.443	462
21.467	542	21.493	451
21.518	558	21.544	448
21.569	563	21.594	454
21.620	570	21.645	465
21.670	565	21.696	483
21.721	562	21.747	505
21.771	541	21.797	536
21.823	518	21.848	569
21.873	497	21.898	602
21.924	470	21.950	636
21.974	445	22.000	667
22.025	419	22.051	692
22.075	396	22.101	714
22.127	375	22.152	728
22.177	359	22.202	736
22.228	347	22.254	736
22.278	341	22.304	727
22.329	348	22.355	712
22.380	348	22.405	691
22.431	366	22.456	664
22.481	384	22.507	631
22.532	406	22.558	603
22.582	430	22.608	564
22.634	456	22.659	535
22.684	482	22.709	503
22.735	505	22.761	479
22.785	525	22.811	463
22.836	541	22.862	450
22.886	554	22.912	447
22.938	558	22.963	450
22.988	561	23.013	464
23.039	550	23.065	481
23.089	541	23.115	509
23.140	526	23.166	538
23.191	505	23.216	569
23.242	482	23.267	603
23.292	458	23.318	635
23.343	432	23.369	665
23.393	409	23.419	694
23.445	388	23.470	714
23.495	371	23.520	730
23.546	359	23.572	737
23.596	348	23.622	736
23.647	348	23.673	727
23.697	354	23.723	713
23.749	363	23.774	690
23.799	380	23.824	664
23.850	398	23.876	632
23.900	421	23.926	597
23.951	443	23.977	566
24.002	468	24.027	532
24.053	492	24.078	503
24.104	512	24.129	480
24.154	529	24.180	461
24.205	541	24.230	451
24.256	548	24.281	448
24.307	552	24.331	452
24.357	550	24.383	463
24.408	541	24.433	482
24.458	529	24.484	510
24.510	512	24.534	539
24.560	491	24.585	571
24.611	468	24.635	602
24.661	445	24.687	637
24.712	423	24.737	664
24.762	399	24.788	693
24.814	380	24.838	713
24.864	367	24.889	727
24.915	357	24.940	734
24.965	356	24.991	734
25.016	356	25.041	726
25.067	361	25.092	710
25.118	373	25.142	691
25.168	392	25.194	661
25.219	411	25.244	630
25.269	434	25.295	599
25.321	457	25.345	566
25.371	478	25.396	532
25.422	502	25.446	502
25.472	523	25.498	480
25.523	533	25.548	466
25.573	544	25.599	451
25.625	551	25.649	448
25.675	550	25.700	453
25.726	544	25.751	465
25.776	531	25.802	483
25.827	520	25.852	507
25.878	498	25.903	536
25.929	477	25.953	567
25.979	455	26.005	606
26.030	431	26.055	633
26.080	410	26.106	665
26.132	388	26.156	691
26.182	374	26.207	711
26.233	365	26.257	724
26.283	357	26.309	732
26.334	358	26.359	730
26.384	362	26.410	722
26.436	370	26.460	707
26.486	384	26.511	689
26.537	403	26.562	661
26.587	425	26.613	629
26.638	447	26.663	599
26.689	468	26.714	566
26.740	492	26.764	534
26.790	513	26.816	506
26.841	527	26.866	483
26.891	540	26.917	465
26.943	551	26.967	455
26.993	547	27.018	452
27.044	547	27.068	452
27.094	538	27.120	469
27.145	526	27.171	485
27.195	507	27.221	508
27.247	487	27.272	539
27.297	464	27.322	561
27.348	441	27.374	602
27.398	419	27.424	633
27.449	396	27.475	662
27.500	381	27.525	687
27.551	364	27.576	706
27.601	354	27.627	719
