#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
57.155	581	57.180	528
57.206	583	57.231	513
57.256	581	57.282	494
57.307	582	57.333	480
57.357	580	57.383	475
57.409	580	57.434	477
57.459	580	57.484	481
57.510	580	57.536	492
57.560	581	57.586	510
57.611	579	57.637	531
57.662	579	57.687	555
57.713	581	57.738	581
57.763	584	57.789	612
57.814	581	57.840	638
57.864	582	57.890	661
57.915	581	57.941	681
57.966	582	57.991	700
58.017	581	58.042	710
58.067	583	58.093	718
58.118	584	58.144	718
58.168	583	58.194	712
58.220	583	58.245	700
58.270	583	58.295	683
58.321	584	58.347	660
58.371	581	58.397	636
58.422	582	58.448	609
58.473	582	58.498	583
58.524	584	58.549	556
58.574	580	58.600	531
58.625	581	58.651	508
58.675	581	58.701	494
58.726	580	58.752	483
58.777	581	58.802	478
58.828	579	58.853	479
58.878	580	58.904	485
58.929	582	58.955	496
58.979	580	59.005	512
59.031	581	59.056	535
59.081	580	59.106	561
59.132	581	59.158	588
59.182	581	59.208	613
59.233	581	59.259	639
59.284	581	59.309	667
59.335	582	59.360	685
59.385	582	59.411	701
59.436	583	59.462	711
59.486	581	59.512	716
59.538	582	59.563	717
59.588	580	59.613	707
59.639	582	59.664	695
59.689	583	59.715	676
59.740	585	59.766	659
59.790	581	59.816	633
59.842	583	59.867	604
59.892	582	59.917	580
59.943	581	59.969	552
59.993	581	60.019	529
60.044	580	60.070	510
60.095	580	60.120	494
60.146	579	60.171	483
60.196	584	60.222	474
60.247	580	60.273	480
60.297	579	60.323	491
60.349	579	60.374	501
